FeatureSet,Scaling,FeatureSelection,Model,Accuracy,Accuracy_std,F1_macro,F1_macro_std,AUPRC,AUPRC_std
biomedical_only,StandardScaler,Chi2,SVM,0.7283,0.0099,0.7268,0.0106,0.7635,0.0093
biomedical_only,StandardScaler,ANOVA,SVM,0.7294,0.0085,0.7278,0.0092,0.7619,0.0041
biomedical_only,StandardScaler,none,MLP,0.7245,0.0111,0.7239,0.0116,0.7668,0.0113
biomedical_only,StandardScaler,MI,MLP,0.7254,0.0096,0.7248,0.0099,0.767,0.0112
biomedical_only,StandardScaler,Chi2,MLP,0.7245,0.0111,0.7239,0.0116,0.7668,0.0113
biomedical_only,StandardScaler,ANOVA,MLP,0.7232,0.01,0.7225,0.0104,0.7675,0.0115
biomedical_only,MinMaxScaler,none,LogisticRegression,0.7236,0.009,0.7219,0.0098,0.7635,0.0129
biomedical_only,MinMaxScaler,MI,LogisticRegression,0.7236,0.009,0.7219,0.0098,0.7635,0.0129
biomedical_only,MinMaxScaler,Chi2,LogisticRegression,0.7219,0.0116,0.7202,0.0124,0.7623,0.0132
biomedical_only,MinMaxScaler,ANOVA,LogisticRegression,0.7242,0.0088,0.7224,0.0094,0.7632,0.0117
biomedical_only,MinMaxScaler,L1,LogisticRegression,0.7255,0.0078,0.7237,0.0088,0.7639,0.0128
biomedical_only,MinMaxScaler,none,SVM,0.7279,0.0127,0.7262,0.0135,0.7693,0.0082
biomedical_only,MinMaxScaler,MI,SVM,0.7256,0.0096,0.7245,0.0102,0.7692,0.0097
biomedical_only,MinMaxScaler,Chi2,SVM,0.7274,0.0111,0.726,0.0119,0.7695,0.0088
biomedical_only,MinMaxScaler,ANOVA,SVM,0.7254,0.0108,0.7236,0.0116,0.7696,0.0081
biomedical_only,MinMaxScaler,none,MLP,0.7261,0.013,0.7247,0.0136,0.7679,0.009
biomedical_only,MinMaxScaler,MI,MLP,0.7261,0.013,0.7247,0.0136,0.7679,0.009
biomedical_only,MinMaxScaler,Chi2,MLP,0.7269,0.0096,0.7258,0.0105,0.7636,0.0109
biomedical_only,MinMaxScaler,ANOVA,MLP,0.7264,0.0117,0.725,0.0122,0.7691,0.0091
