FeatureSet,Model,Strategy1,Strategy2,Strategy1_F1,Strategy1_F1_std,Strategy2_F1,Strategy2_F1_std,Strategy1_AUPRC,Strategy2_AUPRC,Winner,Mean_Diff,Std_Diff
lifestyle_only,SVM,MinMaxScaler_MI,MinMaxScaler_Chi2,0.4757,0.0031,0.4757,0.0031,0.5058±0.0016,0.5058±0.0016,Tie,0.0,0.0044
lifestyle_only,SVM,MinMaxScaler_MI,MinMaxScaler_ANOVA,0.4757,0.0031,0.4757,0.0031,0.5058±0.0016,0.5058±0.0016,Tie,0.0,0.0044
lifestyle_only,SVM,MinMaxScaler_Chi2,MinMaxScaler_ANOVA,0.4757,0.0031,0.4757,0.0031,0.5058±0.0016,0.5058±0.0016,Tie,0.0,0.0044
lifestyle_only,MLP,StandardScaler_none,StandardScaler_MI,0.474,0.0044,0.4726,0.0055,0.5077±0.0019,0.5069±0.0009,Tie,0.0014,0.007
lifestyle_only,MLP,StandardScaler_none,StandardScaler_Chi2,0.474,0.0044,0.4697,0.0025,0.5077±0.0019,0.5067±0.0011,Tie,0.0043,0.0051
lifestyle_only,MLP,StandardScaler_none,StandardScaler_ANOVA,0.474,0.0044,0.474,0.0044,0.5077±0.0019,0.5077±0.0019,Tie,0.0,0.0062
lifestyle_only,MLP,StandardScaler_MI,StandardScaler_Chi2,0.4726,0.0055,0.4697,0.0025,0.5069±0.0009,0.5067±0.0011,Tie,0.0029,0.006
lifestyle_only,MLP,StandardScaler_MI,StandardScaler_ANOVA,0.4726,0.0055,0.474,0.0044,0.5069±0.0009,0.5077±0.0019,Tie,-0.0014,0.007
lifestyle_only,MLP,StandardScaler_Chi2,StandardScaler_ANOVA,0.4697,0.0025,0.474,0.0044,0.5067±0.0011,0.5077±0.0019,Tie,-0.0043,0.0051
lifestyle_only,MLP,MinMaxScaler_none,MinMaxScaler_MI,0.474,0.0044,0.4715,0.0044,0.5077±0.0019,0.5062±0.0016,Tie,0.0025,0.0062
lifestyle_only,MLP,MinMaxScaler_none,MinMaxScaler_Chi2,0.474,0.0044,0.4697,0.0025,0.5077±0.0019,0.5067±0.0011,Tie,0.0043,0.0051
lifestyle_only,MLP,MinMaxScaler_none,MinMaxScaler_ANOVA,0.474,0.0044,0.474,0.0044,0.5077±0.0019,0.5077±0.0019,Tie,0.0,0.0062
lifestyle_only,MLP,MinMaxScaler_MI,MinMaxScaler_Chi2,0.4715,0.0044,0.4697,0.0025,0.5062±0.0016,0.5067±0.0011,Tie,0.0018,0.0051
lifestyle_only,MLP,MinMaxScaler_MI,MinMaxScaler_ANOVA,0.4715,0.0044,0.474,0.0044,0.5062±0.0016,0.5077±0.0019,Tie,-0.0025,0.0062
lifestyle_only,MLP,MinMaxScaler_Chi2,MinMaxScaler_ANOVA,0.4697,0.0025,0.474,0.0044,0.5067±0.0011,0.5077±0.0019,Tie,-0.0043,0.0051
biomedical_only,LogisticRegression,StandardScaler_none,StandardScaler_MI,0.725,0.0032,0.725,0.0032,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0045
biomedical_only,LogisticRegression,StandardScaler_none,StandardScaler_Chi2,0.725,0.0032,0.725,0.0032,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0045
biomedical_only,LogisticRegression,StandardScaler_none,StandardScaler_ANOVA,0.725,0.0032,0.725,0.0032,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0045
biomedical_only,LogisticRegression,StandardScaler_none,StandardScaler_L1,0.725,0.0032,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,-0.0001,0.0046
biomedical_only,LogisticRegression,StandardScaler_MI,StandardScaler_Chi2,0.725,0.0032,0.725,0.0032,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0045
biomedical_only,LogisticRegression,StandardScaler_MI,StandardScaler_ANOVA,0.725,0.0032,0.725,0.0032,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0045
biomedical_only,LogisticRegression,StandardScaler_MI,StandardScaler_L1,0.725,0.0032,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,-0.0001,0.0046
biomedical_only,LogisticRegression,StandardScaler_Chi2,StandardScaler_ANOVA,0.725,0.0032,0.725,0.0032,0.7701±0.0056,0.7701±0.0056,Tie,0.0,0.0045
biomedical_only,LogisticRegression,StandardScaler_Chi2,StandardScaler_L1,0.725,0.0032,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,-0.0001,0.0046
biomedical_only,LogisticRegression,StandardScaler_ANOVA,StandardScaler_L1,0.725,0.0032,0.7251,0.0033,0.7701±0.0056,0.7701±0.0056,Tie,-0.0001,0.0046
