FeatureSet,Scaling,FeatureSelection,Model,Accuracy,Accuracy_std,Precision,Precision_std,Recall,Recall_std,F1_macro,F1_macro_std,AUPRC,AUPRC_std,ROC_AUC,ROC_AUC_std,F1_scores,AUPRC_scores
lifestyle_only,StandardScaler,L1,LogisticRegression,0.5194,0.0102,0.5245,0.0164,0.5165,0.0102,0.4765,0.0116,0.5097,0.0059,0.5203,0.0087,[0.47654447377591297],[0.5097033268669694]
lifestyle_only,StandardScaler,none,SVM,0.5228,0.0099,0.5315,0.0157,0.5195,0.01,0.4706,0.0121,0.5073,0.0081,0.5206,0.0099,[0.47057100595759127],[0.5073376585788104]
lifestyle_only,StandardScaler,MI,SVM,0.5224,0.0092,0.5307,0.0143,0.5192,0.0093,0.4705,0.012,0.507,0.0074,0.5199,0.0086,[0.47054558281132264],[0.5069809155168995]
lifestyle_only,StandardScaler,Chi2,SVM,0.5228,0.0099,0.5315,0.0156,0.5195,0.01,0.47,0.0128,0.5072,0.0082,0.5182,0.0138,[0.4699984951350805],[0.5072399519670947]
lifestyle_only,StandardScaler,ANOVA,SVM,0.5228,0.0099,0.5315,0.0157,0.5195,0.01,0.4706,0.0121,0.5073,0.0081,0.5206,0.0099,[0.47057100595759127],[0.5073376585788104]
lifestyle_only,StandardScaler,none,MLP,0.5219,0.0095,0.5269,0.0132,0.5191,0.0096,0.4834,0.0116,0.507,0.0062,0.5205,0.0107,[0.4833655830830418],[0.5070010981329491]
lifestyle_only,StandardScaler,MI,MLP,0.5168,0.0142,0.5276,0.0173,0.5155,0.0125,0.4587,0.0461,0.506,0.0065,0.5158,0.0107,[0.4587471617518644],[0.5060087451980203]
lifestyle_only,StandardScaler,Chi2,MLP,0.5198,0.0106,0.5243,0.0146,0.5168,0.0107,0.4777,0.0157,0.5046,0.0066,0.514,0.0129,[0.47770223721709737],[0.504617534670002]
lifestyle_only,StandardScaler,ANOVA,MLP,0.5219,0.0095,0.5269,0.0132,0.5191,0.0096,0.4834,0.0116,0.507,0.0062,0.5205,0.0107,[0.4833655830830418],[0.5070010981329491]
lifestyle_only,MinMaxScaler,none,LogisticRegression,0.5194,0.0102,0.5245,0.0164,0.5165,0.0102,0.4765,0.0116,0.5088,0.0071,0.5191,0.0094,[0.47654447377591297],[0.5087850180314843]
lifestyle_only,MinMaxScaler,MI,LogisticRegression,0.5181,0.012,0.5213,0.0212,0.5148,0.0126,0.458,0.0437,0.5066,0.0088,0.5183,0.0107,[0.45804354520765916],[0.5066468677081853]
lifestyle_only,MinMaxScaler,Chi2,LogisticRegression,0.5194,0.0102,0.5245,0.0164,0.5165,0.0102,0.4765,0.0116,0.5088,0.0071,0.5191,0.0094,[0.47654447377591297],[0.5087850180314843]
lifestyle_only,MinMaxScaler,ANOVA,LogisticRegression,0.5194,0.0102,0.5245,0.0164,0.5165,0.0102,0.4765,0.0116,0.5088,0.0071,0.5191,0.0094,[0.47654447377591297],[0.5087850180314843]
lifestyle_only,MinMaxScaler,L1,LogisticRegression,0.5194,0.0102,0.5245,0.0164,0.5165,0.0102,0.4765,0.0116,0.5097,0.0059,0.5203,0.0087,[0.47654447377591297],[0.5097033268669694]
lifestyle_only,MinMaxScaler,none,SVM,0.5228,0.0099,0.5315,0.0157,0.5195,0.01,0.4706,0.0121,0.5073,0.0081,0.5206,0.0099,[0.47057100595759127],[0.5073376585788104]
lifestyle_only,MinMaxScaler,MI,SVM,0.5228,0.0099,0.5315,0.0157,0.5195,0.01,0.4706,0.0121,0.5081,0.0077,0.5186,0.0123,[0.47057100595759127],[0.5081243325926931]
lifestyle_only,MinMaxScaler,Chi2,SVM,0.5228,0.0099,0.5315,0.0156,0.5195,0.01,0.47,0.0128,0.5072,0.0082,0.5182,0.0138,[0.4699984951350805],[0.5072399519670947]
lifestyle_only,MinMaxScaler,ANOVA,SVM,0.5228,0.0099,0.5315,0.0157,0.5195,0.01,0.4706,0.0121,0.5073,0.0081,0.5206,0.0099,[0.47057100595759127],[0.5073376585788104]
lifestyle_only,MinMaxScaler,none,MLP,0.5219,0.0095,0.5269,0.0132,0.5191,0.0096,0.4834,0.0116,0.507,0.0062,0.5205,0.0107,[0.4833655830830418],[0.5070010981329491]
lifestyle_only,MinMaxScaler,MI,MLP,0.5219,0.0095,0.5269,0.0132,0.5191,0.0096,0.4834,0.0116,0.507,0.0062,0.5205,0.0107,[0.4833655830830418],[0.5070010981329491]
lifestyle_only,MinMaxScaler,Chi2,MLP,0.5198,0.0106,0.5243,0.0146,0.5168,0.0107,0.4777,0.0157,0.5046,0.0066,0.514,0.0129,[0.47770223721709737],[0.504617534670002]
lifestyle_only,MinMaxScaler,ANOVA,MLP,0.5219,0.0095,0.5269,0.0132,0.5191,0.0096,0.4834,0.0116,0.507,0.0062,0.5205,0.0107,[0.4833655830830418],[0.5070010981329491]
biomedical_only,StandardScaler,none,LogisticRegression,0.7251,0.0083,0.7295,0.0057,0.7244,0.0086,0.7233,0.0094,0.7636,0.013,0.7861,0.0097,[0.7233053835046223],[0.7636453292479991]
biomedical_only,StandardScaler,MI,LogisticRegression,0.7237,0.0111,0.7279,0.0092,0.723,0.0113,0.722,0.012,0.7625,0.0133,0.7855,0.0104,[0.7219989979553856],[0.7624529548830536]
biomedical_only,StandardScaler,Chi2,LogisticRegression,0.7231,0.0106,0.7274,0.0088,0.7224,0.0108,0.7213,0.0115,0.7628,0.0132,0.7857,0.0098,[0.7213347733696776],[0.7627533156271091]
biomedical_only,StandardScaler,ANOVA,LogisticRegression,0.7236,0.0073,0.7281,0.005,0.7229,0.0075,0.7218,0.0083,0.7631,0.0122,0.7852,0.0087,[0.7217852675163271],[0.7630605247152663]
biomedical_only,StandardScaler,L1,LogisticRegression,0.7256,0.0082,0.73,0.0058,0.7249,0.0085,0.7238,0.0093,0.7639,0.0128,0.7863,0.0097,[0.7238176439324231],[0.763880607341002]
biomedical_only,StandardScaler,none,SVM,0.7285,0.0085,0.7321,0.007,0.7278,0.0086,0.727,0.0091,0.7665,0.0099,0.7837,0.0101,[0.7270127695733607],[0.7665314746360998]
biomedical_only,StandardScaler,MI,SVM,0.7285,0.0085,0.7321,0.007,0.7278,0.0086,0.727,0.0091,0.7665,0.0099,0.7837,0.0101,[0.7270127695733607],[0.7665314746360998]
biomedical_only,StandardScaler,Chi2,SVM,0.7283,0.0099,0.7316,0.0083,0.7276,0.01,0.7268,0.0106,0.7635,0.0093,0.7817,0.0101,[0.7268200713510371],[0.7634621064174126]
biomedical_only,StandardScaler,ANOVA,SVM,0.7294,0.0085,0.7332,0.0068,0.7287,0.0086,0.7278,0.0092,0.7619,0.0041,0.7779,0.0095,[0.7278045356168349],[0.7618537040432781]
biomedical_only,StandardScaler,none,MLP,0.7245,0.0111,0.7257,0.0102,0.7241,0.0113,0.7239,0.0116,0.7668,0.0113,0.7895,0.0127,[0.7238774629323391],[0.7667709568373029]
biomedical_only,StandardScaler,MI,MLP,0.7245,0.0111,0.7257,0.0102,0.7241,0.0113,0.7239,0.0116,0.7668,0.0113,0.7895,0.0127,[0.7238774629323391],[0.7667709568373029]
biomedical_only,StandardScaler,Chi2,MLP,0.7245,0.0111,0.7257,0.0102,0.7241,0.0113,0.7239,0.0116,0.7668,0.0113,0.7895,0.0127,[0.7238774629323391],[0.7667709568373029]
biomedical_only,StandardScaler,ANOVA,MLP,0.7232,0.01,0.7247,0.0093,0.7229,0.0101,0.7225,0.0104,0.7675,0.0115,0.7872,0.0102,[0.72252503173272],[0.7675253755001435]
biomedical_only,MinMaxScaler,none,LogisticRegression,0.7236,0.009,0.7277,0.0074,0.7229,0.0091,0.7219,0.0098,0.7635,0.0129,0.7864,0.0098,[0.7219083958072066],[0.7635457527060251]
biomedical_only,MinMaxScaler,MI,LogisticRegression,0.7221,0.0078,0.7259,0.006,0.7214,0.008,0.7205,0.0087,0.7623,0.0135,0.7846,0.009,[0.7204891615634142],[0.7623163383494507]
biomedical_only,MinMaxScaler,Chi2,LogisticRegression,0.7219,0.0116,0.7258,0.0103,0.7212,0.0118,0.7202,0.0124,0.7623,0.0132,0.7858,0.0099,[0.7201785066198129],[0.7623260616273372]
biomedical_only,MinMaxScaler,ANOVA,LogisticRegression,0.7242,0.0088,0.7289,0.008,0.7235,0.0089,0.7224,0.0094,0.7632,0.0117,0.7849,0.0083,[0.7223699261808276],[0.7632140567696094]
biomedical_only,MinMaxScaler,L1,LogisticRegression,0.7255,0.0078,0.7299,0.0054,0.7248,0.008,0.7237,0.0088,0.7639,0.0128,0.7864,0.0096,[0.7236898971048851],[0.7638955814670928]
biomedical_only,MinMaxScaler,none,SVM,0.7279,0.0127,0.7318,0.0112,0.7272,0.0129,0.7262,0.0135,0.7693,0.0082,0.787,0.0107,[0.7262449486177168],[0.769335832495706]
biomedical_only,MinMaxScaler,MI,SVM,0.7255,0.0127,0.7284,0.0119,0.7249,0.0128,0.7242,0.0132,0.7701,0.0114,0.7876,0.0119,[0.724228005511246],[0.7701459654561549]
biomedical_only,MinMaxScaler,Chi2,SVM,0.7274,0.0111,0.7305,0.0094,0.7268,0.0113,0.726,0.0119,0.7695,0.0088,0.7864,0.0102,[0.726038542434488],[0.7694779226784774]
biomedical_only,MinMaxScaler,ANOVA,SVM,0.7254,0.0108,0.7296,0.0093,0.7246,0.011,0.7236,0.0116,0.7696,0.0081,0.7865,0.0103,[0.7236301527877983],[0.769584410287664]
biomedical_only,MinMaxScaler,none,MLP,0.7261,0.013,0.7296,0.0119,0.7255,0.0131,0.7247,0.0136,0.7679,0.009,0.7894,0.0094,[0.7246508967608896],[0.767886578903253]
biomedical_only,MinMaxScaler,MI,MLP,0.7257,0.0131,0.7284,0.0123,0.7253,0.0132,0.7246,0.0136,0.767,0.0095,0.7879,0.0098,[0.7246374269833419],[0.7669993176603711]
biomedical_only,MinMaxScaler,Chi2,MLP,0.7269,0.0096,0.7293,0.008,0.7264,0.0098,0.7258,0.0105,0.7636,0.0109,0.7865,0.0104,[0.7257979465394706],[0.7636274047686461]
biomedical_only,MinMaxScaler,ANOVA,MLP,0.7264,0.0117,0.7296,0.0107,0.7257,0.0118,0.725,0.0122,0.7691,0.0091,0.7889,0.0091,[0.724980576681916],[0.7691283101879798]
